City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
zhongshu,24.5167,103.7667,291.03,93,100,2.62,CN,1621776109
ulaangom,49.9811,92.0667,288.39,43,6,2.11,MN,1621776110
mackay,-21.15,149.2,293.53,78,2,6.06,AU,1621776111
linqiong,30.4159,103.4609,293.05,81,100,0.36,CN,1621776113
camacupa,-12.0167,17.4833,298.97,24,0,2.48,AO,1621776114
hailar,49.2,119.7,276.75,90,100,7.87,CN,1621776115
pisco,-13.7,-76.2167,290.38,88,90,0.0,PE,1621776117
eureka,40.8021,-124.1637,279.78,90,54,2.13,US,1621776118
kuito,-12.3833,16.9333,296.28,28,0,2.81,AO,1621776119
lagoa,39.05,-27.9833,288.43,63,6,5.3,PT,1621776120
bara,10.3744,10.7288,308.38,35,18,0.48,NG,1621776122
buala,-8.145,159.5921,299.72,82,100,0.34,SB,1621776123
beloye,48.4952,39.0505,296.66,57,41,3.94,UA,1621776126
shenzhen,22.5455,114.0683,304.38,77,99,3.92,CN,1621776097
usinsk,65.9939,57.5281,285.79,50,96,9.33,RU,1621776128
san rafael,-34.6177,-68.3301,281.74,45,0,2.27,AR,1621776116
cocorit,27.5833,-109.9667,295.26,61,0,0.69,MX,1621776130
kulhudhuffushi,6.6221,73.07,302.3,73,100,6.99,MV,1621776132
huilong,31.8111,121.655,290.95,91,100,6.01,CN,1621776133
acapulco,16.8634,-99.8901,298.05,57,20,0.91,MX,1621776134
flinders,-34.5833,150.8552,289.93,91,96,0.45,AU,1621776136
saint george,37.1041,-113.5841,284.7,42,1,1.34,US,1621776061
topolevo,48.4994,135.1975,293.25,64,0,1.0,RU,1621776138
deloraine,-41.5333,146.6667,279.1,88,31,0.9,AU,1621776139
benesov nad ploucnici,50.7416,14.3124,289.44,69,83,5.47,CZ,1621776141
tura,25.5198,90.2201,301.06,70,20,1.15,IN,1621776142
swellendam,-34.0226,20.4417,299.36,32,39,2.43,ZA,1621776143
miri,4.4148,114.0089,299.23,83,40,2.79,MY,1621776146
gunnedah,-30.9833,150.25,282.94,86,0,2.05,AU,1621776147
